A,B,C,D,E,F,G,H,I,J,A1,B1,C1,D1,E1,F1,G1,H1,I1,J1
0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0
0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0
0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0
1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1
0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1
0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1
0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0
1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0
1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0
0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0
1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0
1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1
1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0
1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1
0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1
0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1
0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0
1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
